sensor_4,1584881504228,5.532350499263412
sensor_7,1584881504228,2.9198690963592817
sensor_1,1584881504228,39.0494694672591
sensor_9,1584881504228,26.646709233745852
sensor_3,1584881504228,2.9639678213069303
sensor_3,1584881504229,3.5

sensor_1,1584881504230,35.0
sensor_2,1584881504231,37.0
sensor_3,1584881504232,39.0
sensor_1,1584881504233,33.0
sensor_2,1584881504234,32.0
sensor_3,1584881504235,31.0
sensor_1,1584881504236,20.0
sensor_2,1584881504237,26.0
sensor_3,1584881504238,19.0
sensor_1,1584881504239,28.0
sensor_2,1584881504240,38.0
sensor_3,1584881504241,28.0
sensor_1,1584881504242,30.0
sensor_2,1584881504243,22.0
sensor_3,1584881504244,11.0
sensor_1,1584881504245,13.0
sensor_2,1584881504246,15.0
sensor_3,1584881504247,10.0
sensor_1,1584881504248,9.0
sensor_2,1584881504249,8.0
sensor_3,1584881504250,2.0
sensor_1,1584881504251,-1.0
